"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"An overview of blockchain technologies: Principles, opportunities and challenges","G. B. Mermer; E. Zeydan; S. S. Arslan","ING Bank, İstanbul, Türkiye; Türk Telekom Labs, İstanbul, Türkiye; MEF Üniversitesi, İstanbul, Türkiye","2018 26th Signal Processing and Communications Applications Conference (SIU)","","2018","","","1","4","","","","10.1109/SIU.2018.8404513","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8404513","Blockchain;cryptogtaphy;consensus","Dogs;Bitcoin;Blogs;Internet of Things","data integrity;Internet;security of data","blockchain technologies;trusted third party entities;in-built authenticity;user transparency;data integrity","","","","","","","","","","IEEE","IEEE Conferences"
"Blockchain-based trusted authentication in cloud radio over fiber network for 5G","H. Yang; H. Zheng; J. Zhang; Y. Wu; Y. Lee; Y. Ji","State Key Laboratory of Information Photonics and Optical Communications, Beijing University of Posts and Telecommunications, China; State Key Laboratory of Information Photonics and Optical Communications, Beijing University of Posts and Telecommunications, China; State Key Laboratory of Information Photonics and Optical Communications, Beijing University of Posts and Telecommunications, China; Huawei Technologies Co., LTD.; Huawei Technologies Co., LTD.; State Key Laboratory of Information Photonics and Optical Communications, Beijing University of Posts and Telecommunications, China","2017 16th International Conference on Optical Communications and Networks (ICOCN)","","2017","","","1","3","","","","10.1109/ICOCN.2017.8121598","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8121598","Blockchain;RoF;5G;SDN;optical network","5G mobile communication;Cloud computing;Authentication;Optical fiber networks;Conferences;Radio access networks","5G mobile communication;authorisation;cloud computing;Internet of Things;mobile computing;radio access networks;radio-over-fibre;telecommunication security","mobile core network;authentication architecture;anonymous access scheme;fiber network;trusted authentication;cloud radio access network;centralized access authentication;C-RAN;C","","","","","","","","","","IEEE","IEEE Conferences"
"Blockchain-Based Dynamic Key Management for Heterogeneous Intelligent Transportation Systems","A. Lei; H. Cruickshank; Y. Cao; P. Asuquo; C. P. A. Ogah; Z. Sun","Institute of Communication Systems, University of Surrey, Guildford, U.K.; Institute of Communication Systems, University of Surrey, Guildford, U.K.; Department of Computer and Information Sciences, Northumbria University, Newcastle-upon-Tyne, U.K.; Institute of Communication Systems, University of Surrey, Guildford, U.K.; Institute of Communication Systems, University of Surrey, Guildford, U.K.; Institute of Communication Systems, University of Surrey, Guildford, U.K.","IEEE Internet of Things Journal","","2017","4","6","1832","1843","","","","10.1109/JIOT.2017.2740569","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8010820","Blockchain;dynamic key management;handover;Intelligent Transportation System (ITS);vehicular communication systems (VCSs)","Vehicle dynamics;Internet of Things;Heterogeneous networks;Intelligent vehicles;Cryptography;Privacy;Handover;Vehicular ad hoc networks","intelligent transportation systems;road safety;road traffic;security of data","heterogeneous intelligent transportation systems;dynamic key management;vehicles handover;dynamic transaction collection period;heterogeneous VCS domains;distributed key management;decentralized blockchain structure;novel network topology;vehicle departure information;heterogeneous network;secure key management;network security;key management schemes;secured group broadcast;vehicular communication systems;traffic efficiency;road safety;transportation infrastructures;Intelligent Transportation System","","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Blockchain for Secure and Efficient Data Sharing in Vehicular Edge Computing and Networks","J. Kang; R. Yu; X. Huang; M. Wu; S. Maharjan; S. Xie; Y. Zhang","School of Automation, Guangdong University of Technology, China.; School of Automation, Guangdong University of Technology, China.; School of Automation, Guangdong University of Technology, China.; School of Automation, Guangdong University of Technology, China.; Simula Metropolitan Center for Digital Engineering, and University of Oslo, Norway.; School of Automation, Guangdong University of Technology, China.; Department of Informatics, University of Oslo, Norway.","IEEE Internet of Things Journal","","2018","PP","99","1","1","","","","10.1109/JIOT.2018.2875542","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8489897","Vehicular edge computing;blockchain;smart contracts;security and privacy;reputation management.","Memory;Contracts;Edge computing;Metadata;Peer-to-peer computing","","","","","","","","","","","","IEEE","IEEE Early Access Articles"
"DNSLedger: Decentralized and distributed name resolution for ubiquitous IoT","X. Duan; Z. Yan; G. Geng; B. Yan","Computer Network Information Center, Chinese Academy of Science, Beijing 100190, China; China Internet Network Information Center, Beijing 100190, China; China Internet Network Information Center, Beijing 100190, China; Computer Network Information Center, Chinese Academy of Science, Beijing 100190, China","2018 IEEE International Conference on Consumer Electronics (ICCE)","","2018","","","1","3","","","","10.1109/ICCE.2018.8326118","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8326118","IOT;OID;DNSLedger;DNS","Conferences;Consumer electronics","Internet;Internet of Things","DNSLedger;distributed Name resolution;ubiquitous IoT;domain name management model;Domain Name System","","","","","","","","","","IEEE","IEEE Conferences"
"Volunteer service time record system based on blockchain technology","N. Zhou; M. Wu; J. Zhou","Hubei Key Laboratory of Broadband Wireless Communication and Sensor Network, School of Information Engineering, Wuhan University of Technology, Wu Han 430070, China; Hubei Key Laboratory of Broadband Wireless Communication and Sensor Network, School of Information Engineering, Wuhan University of Technology, Wu Han 430070, China; Hubei Key Laboratory of Broadband Wireless Communication and Sensor Network, School of Information Engineering, Wuhan University of Technology, Wu Han 430070, China","2017 IEEE 2nd Advanced Information Technology, Electronic and Automation Control Conference (IAEAC)","","2017","","","610","613","","","","10.1109/IAEAC.2017.8054088","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8054088","blockchain;volunteer service;data security;data store;traceability system","Public key;Contracts;Encryption;Government;Bitcoin;Internet of Things","public administration;security of data;time management","blockchain technology;volunteer service time record system;volunteer service time management;data security;traceability system;China;time recognition;public information","","","","","","","","","","IEEE","IEEE Conferences"
"A blockchain based peer-to-peer framework for exchanging leftover foreign currency","R. Bhattacharya; M. White; N. Beloff","Department of Engineering and Informatics, University of Sussex, Brighton, United Kingdom; Department of Engineering and Informatics, University of Sussex, Brighton, United Kingdom; Department of Engineering and Informatics, University of Sussex, Brighton, United Kingdom","2017 Computing Conference","","2017","","","1431","1435","","","","10.1109/SAI.2017.8252284","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8252284","Blockchain;Currency Exchange;Internet of Things;Smart Kiosk","Exchange rates;Peer-to-peer computing;Mobile communication;Bitcoin;Informatics","electronic money;financial data processing;Internet;mobile computing;peer-to-peer computing","travel currency card;blockchain;peer-to-peer currency exchange technique;international trip;mobile Web application;smart kiosk based systems;leftover foreign currency exchange","","","","","","","","","","IEEE","IEEE Conferences"
"Blockchain Platforms Overview for Industrial IoT Purposes","N. Teslya; I. Ryabchikov","SPIIRAS, St.Petersburg, Russia; SPIIRAS, St.Petersburg, Russia","2018 22nd Conference of Open Innovations Association (FRUCT)","","2018","","","250","256","","","","10.23919/FRUCT.2018.8468276","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8468276","","Contracts;Fault tolerance;Fault tolerant systems;Aerospace electronics;Hardware;Industries","contracts;cryptography;fault tolerance;Internet of Things","consensus mechanisms;private blockchains;IIoT platform development;industrial IIoT platform;Industrial IoT purposes;smart space;token exchange;fault tolerance consensus mechanism;blockchain platforms;blockchain platform implementations;contract distribution","","","","","","","","","","IEEE","IEEE Conferences"
"Evidence and Trust: IoT Collaborative Security Mechanism","B. Wen; Z. Luo; Y. Wen","Hainan Normal University, School of Information Science and Technology, Haikou, China; Hainan Normal University, School of Information Science and Technology, Haikou, China; Huazhong University of Science and Technology, School of Computer Science and Technology, Wuhan, China","2018 Eighth International Conference on Information Science and Technology (ICIST)","","2018","","","98","9","","","","10.1109/ICIST.2018.8426148","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8426148","Internet of Things;evidence;blockchain services;collaborative security","Cryptography;Collaboration;Internet;Contracts;Distributed databases","data structures;digital forensics;Internet of Things;security of data;trusted computing","IoT collaborative security mechanism;authenticity;legitimacy;forensics;tamper-proof;unforgeable decentralized shared ledger;blockchain services;data blocks;data structures;data stability;data evidence","","","","","","","","","","IEEE","IEEE Conferences"
"ControlChain: Blockchain as a Central Enabler for Access Control Authorizations in the IoT","O. J. A. Pinno; A. R. A. Gregio; L. C. E. De Bona","NA; NA; NA","GLOBECOM 2017 - 2017 IEEE Global Communications Conference","","2017","","","1","6","","","","10.1109/GLOCOM.2017.8254521","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8254521","","Authorization;Computer architecture;Registers;Proposals;Process control;Contracts","authorisation;computer network security;data privacy;Internet of Things","communication capabilities;blockchain;IoT access authorizations;IoT tendency requirements;access control models;access control authorization;transport systems","","","","","","","","","","IEEE","IEEE Conferences"
"Game theoretic study on blockchain based secure edge networks","D. Xu; L. Xiao; L. Sun; M. Lei","Dept. of Communication Engineering, Xiamen University, China; Dept. of Communication Engineering, Xiamen University, China; Beijing Key Laboratory of IOT Information Security Technology, Institute of Information Engineering, CAS, China; Information Security Center, Beijing University of Posts and Telecommunications, China","2017 IEEE/CIC International Conference on Communications in China (ICCC)","","2017","","","1","5","","","","10.1109/ICCChina.2017.8330529","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8330529","Blockchain;edge network;game theory;network security","Servers;Security;Games;Mobile handsets;Performance evaluation;Cloud computing","data privacy;game theory","game theoretic study;network security;punishment scheme;attack motivation;edge server;mobile device;edge network;blockchain security game;illegal security gains;data privacy;blockchain-based secure edge networks;Nash equilibria;NE","","","","","","","","","","IEEE","IEEE Conferences"
"CredenceLedger: A Permissioned Blockchain for Verifiable Academic Credentials","R. Arenas; P. Fernandez","Ateneo de Manila University, Department of Information Systems and Computer Science, Manila, Philippines; Ateneo de Manila University, Department of Information Systems and Computer Science, Manila, Philippines","2018 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC)","","2018","","","1","6","","","","10.1109/ICE.2018.8436324","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8436324","Blockchain;Cryptocurrency;Decentralized Verification;Stream;Mining","Bitcoin;Peer-to-peer computing;Education","cryptography;data privacy;electronic commerce;health care;Internet;Internet of Things","governance;key attributes;security;permissioned Blockchain;specific educational use case;decentralized verification;Blockchain-based solution;CredenceLedger;digital academic credentials;Blockchain ledger;education stakeholders;verifiable academic credentials;powers cryptocurrencies;governments;research communities;industry stakeholders;compact data proofs","","","","","","","","","","IEEE","IEEE Conferences"
"Distributed access control on IoT ledger-based architecture","R. C. Lunardi; R. A. Michelin; C. V. Neu; A. F. Zorzo","PUCRS - Brazil; PUCRS - Brazil; PUCRS - Brazil; PUCRS - Brazil","NOMS 2018 - 2018 IEEE/IFIP Network Operations and Management Symposium","","2018","","","1","7","","","","10.1109/NOMS.2018.8406154","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8406154","","Logic gates;Hardware;Access control;Computer architecture;Performance evaluation","authorisation;data privacy;Internet of Things;microcomputers;performance evaluation","Internet of Things devices;Arduino;Raspberry Pi;Orange Pi boards;information propagation;private IoT network scenario;IoT devices;devices hardware limitations;devices performance;IoT networks;IoT ledger-based architecture;distributed access control","","","","","","","","","","IEEE","IEEE Conferences"
"Fully Automated Multi-Resolution Channels and Multithreaded Spectrum Allocation Protocol for IoT Based Sensor Nets","T. Hassan; S. Aslam; J. W. Jang","Department of Electrical Engineering, Bahria University, Islamabad, Pakistan; Department of Electrical Engineering, Bahria University, Islamabad, Pakistan; Department of Electronic Engineering, Sogang University, Seoul, South Korea","IEEE Access","","2018","6","","22545","22556","","","","10.1109/ACCESS.2018.2829078","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8345661","Internet-of-Things (IoTs);wireless sensor networks (WSN);support vector machines (SVM);spectrum allocation","Protocols;Feature extraction;Data communication;Resource management;Throughput;Wireless sensor networks;Channel allocation","channel allocation;Internet of Things;learning (artificial intelligence);multilayer perceptrons;pattern classification;probability;protocols;radial basis function networks;radio networks;support vector machines;telecommunication computing;wireless channels","IoT based sensor nets;multilayer perceptron-based nonlinear support vector machines classification model;multistage Gaussian radial basis function;channel utilization;network topology;maximum data transfer;neighboring channel;network metrics;multiuser data;fully automated self-learning;maximum data transmission;adaptive protocol;multichannel sensor networks;channel allocation;high data rate real-time applications;multithreaded spectrum allocation protocol;fully automated multiresolution channels","","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Towards Realistic Energy Profiling of Blockchains for Securing Internet of Things","S. Sankaran; S. Sanju; K. Achuthan","NA; NA; NA","2018 IEEE 38th International Conference on Distributed Computing Systems (ICDCS)","","2018","","","1454","1459","","","","10.1109/ICDCS.2018.00148","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8416411","Blockchains;Internet of Things;Energy Profiling","Servers;Throughput;Performance evaluation;Power demand;Benchmark testing;Power measurement","energy conservation;energy consumption;Internet of Things;protocols;transaction processing","blockchain;IoTs;remote monitoring;energy consumption;workloads;secure protocols;energy profiling;transaction verification;energy-performance;smart contracts;Ethereum","","","","","","","","","","IEEE","IEEE Conferences"
"An Overview of Smart Contract and Use Cases in Blockchain Technology","B. K. Mohanta; S. S. Panda; D. Jena","IIIT, Bhubaneswar, Odisha, 751003, India; IIIT, Bhubaneswar, Odisha, 751003, India; IIIT, Bhubaneswar, Odisha, 751003, India","2018 9th International Conference on Computing, Communication and Networking Technologies (ICCCNT)","","2018","","","1","4","","","","10.1109/ICCCNT.2018.8494045","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8494045","Smart Contract;Blockchain;Event Driven;Distributed","Contracts;Bitcoin;Supply chains;Internet of Things","","","","","","","","","","","","IEEE","IEEE Conferences"
"Blockchain For Large-Scale Internet of Things Data Storage and Protection","R. Li; T. Song; B. Mei; H. Li; X. Cheng; L. Sun","Computer Science, Bowling Green State University, Bowling Green, Ohio United States (e-mail: ruinian@gwu.edu); Computer Science, Bowling Green State University, Bowling Green, Ohio United States (e-mail: songt@marshall.edu); Texas Christian University, Fort Worth, Texas, United States (e-mail: b.mei@tcu.edu); Institute of Information Engineering, Chinese Academy of Science, Beijing, Beijing China (e-mail: lihong@iie.ac.cn); Computer Science, The George Washington University, Washington, District of Columbia United States 20052 (e-mail: cheng@gwu.edu); Institute of Software, Chinese Academy of Sciences, Beijing, Beijing China (e-mail: sunlimin@iie.ac.cn)","IEEE Transactions on Services Computing","","2018","PP","99","1","1","","","","10.1109/TSC.2018.2853167","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8404099","IoT;Blockchain;Certificateless Cryptography","Servers;Memory;Public key;Cloud computing;Edge computing","","","","","","","","","","","","IEEE","IEEE Early Access Articles"
"Towards Reliable Integrity in Blacklisting: Facing Malicious IPs in GHOST Smart Contracts","G. Spathoulas; A. Collen; P. Pandey; N. A. Nijdam; S. Katsikas; C. S. Kouzinopoulos; M. Ben Moussa; K. M. Giannoutakis; K. Votis; D. Tzovaras","Center for Cyber and Information Security, Norwegian University of Science and Technology, Gjøvik, Norway; Centre Universitaire d’Informatique, University of Geneva, Geneva, Switzerland; Center for Cyber and Information Security, Norwegian University of Science and Technology, Gjøvik, Norway; Centre Universitaire d’Informatique, University of Geneva, Geneva, Switzerland; Center for Cyber and Information Security, Norwegian University of Science and Technology, Gjøvik, Norway; Centre for Research and Technology Hellas, Information Technologies Institute, Thessaloniki, Greece; Centre Universitaire d’Informatique, University of Geneva, Geneva, Switzerland; Centre for Research and Technology Hellas, Information Technologies Institute, Thessaloniki, Greece; Centre for Research and Technology Hellas, Information Technologies Institute, Thessaloniki, Greece; Centre for Research and Technology Hellas, Information Technologies Institute, Thessaloniki, Greece","2018 Innovations in Intelligent Systems and Applications (INISTA)","","2018","","","1","8","","","","10.1109/INISTA.2018.8466327","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8466327","blockchain;smart contracts;blacklisting;privacy;cyber security;information sharing;smart homes","Smart homes;Blacklisting;Contracts;IP networks","computer network security;decision making;Internet of Things;IP networks","cyber security solutions;heterogeneous environments;information sharing;reliable integrity;Internet of Things sector;IoT sector;malicious IP reporting;blacklisting smart contracts;IoT devices;suspicious IP addresses;GHOST's Smart Contracts;decentralised decision making;suspicious IoT communications;malicious behaviour;GHOST installation;daily basis;core decision mechanism;blockchain technology;GHOST project;suspicious traffic;network activities;smart home context;communication exchange;European research project GHOST;GHOST Smart Contracts","","","","","","","","","","IEEE","IEEE Conferences"
"Leveraging Distributed Blockchain-based Scheme for Wireless Network Virtualization with Security and QoS Constraints","D. B. Rawat; A. Alshaikhi","Department of Electrical Engineering & Computer Science, Howard University, Washington, DC, 20059, USA; Department of Electrical Engineering & Computer Science, Howard University, Washington, DC, 20059, USA","2018 International Conference on Computing, Networking and Communications (ICNC)","","2018","","","332","336","","","","10.1109/ICCNC.2018.8390344","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8390344","Blockchain for wireless virtualization;secure wireless virtualization;dynamic spectrum allocation","Wireless communication;Communication system security;Virtualization;Bitcoin;Wireless sensor networks;Radio frequency","Internet of Things;machine-to-machine communication;quality of service;resource allocation;virtualisation;wireless channels","wireless network virtualization;QoS constraints;RF spectrum utilization;Internet-of-Things applications;virtual wireless networks;automated secure approaches;quality-of-service requirements;primary wireless resource-owners;service level agreements;VWN;RF spectrum allocation;mobile virtual network operators;MVNO;security constraints;PWRO;distributed blockchain;public ledger;machine-to-machine communication;US Federal Communications Commission;government regulations","","","","","","","","","","IEEE","IEEE Conferences"
"Blockchain Standards for Compliance and Trust","A. Anjum; M. Sporny; A. Sill","University of Derby; Digital Bazaar; Texas Tech University","IEEE Cloud Computing","","2017","4","4","84","90","","","","10.1109/MCC.2017.3791019","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8066010","blockchain technologies;cryptocurrency;standards now;cloud computing","Standards organizations;Digital signatures;Organizations;Industries;Bitcoin","cryptography;electronic money;standards;trusted computing","blockchain standards;compliance;trust;cryptocurrency applications;distributed ledger methods;supply chain management;manufacturing;agricultural product tracking;advertising verification;Internet of Things;healthcare;pharmaceutical industry","","","","","","","","","","IEEE","IEEE Journals & Magazines"
"BCTrust: A decentralized authentication blockchain-based mechanism","M. T. Hammi; P. Bellot; A. Serhrouchni","LTCI, T&#x00E9;l&#x00E9;com ParisTech, Universit&#x00E9; Paris-Saclay, 75013, Paris, France; LTCI, T&#x00E9;l&#x00E9;com ParisTech, Universit&#x00E9; Paris-Saclay, 75013, Paris, France; LTCI, T&#x00E9;l&#x00E9;com ParisTech, Universit&#x00E9; Paris-Saclay, 75013, Paris, France","2018 IEEE Wireless Communications and Networking Conference (WCNC)","","2018","","","1","6","","","","10.1109/WCNC.2018.8376948","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8376948","Blockchain;Authentication;Security;IoT;Migration;Ethereum;WSN;Industrial Environment","Authentication;Peer-to-peer computing;Wireless sensor networks;Bitcoin;Protocols","cryptography","BCTrust;decentralized authentication blockchain-based mechanism;internet of Things;capacity sensors;malicious users;energy consumption constraints;Ethereum Blockchain;energy efficient blockchain-based authentication mechanism;C programming language","","","","","","","","","","IEEE","IEEE Conferences"
"On the Design of a Blockchain Platform for Clinical Trial and Precision Medicine","Z. Shae; J. J. P. Tsai","NA; NA","2017 IEEE 37th International Conference on Distributed Computing Systems (ICDCS)","","2017","","","1972","1980","","","","10.1109/ICDCS.2017.61","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7980138","blockchain;clinical trial;precision medicine;data integrity;data integration;identity privacy;big data analytics;distributed and parallel computing;patient centric medicine;IoT","Distributed databases;Parallel processing;Big Data;Clinical trials;Data privacy;Computer architecture","Big Data;data analysis;data integration;data integrity;data privacy;medical computing;parallel processing;trusted computing","blockchain platform architecture;clinical trial;precision medicine;parallel computing;distributed computing;Big Data analytics;data integrity;Big Data integration;anonymous identity management component;identity privacy;Internet of Things;IoT devices;data access security;trust data sharing management component;trust medical data ecosystem","","","","","","","","","","IEEE","IEEE Conferences"
"Optimal Auction for Edge Computing Resource Management in Mobile Blockchain Networks: A Deep Learning Approach","N. C. Luong; Z. Xiong; P. Wang; D. Niyato","NA; NA; NA; NA","2018 IEEE International Conference on Communications (ICC)","","2018","","","1","6","","","","10.1109/ICC.2018.8422743","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8422743","","Edge computing;Resource management;Neural networks;Machine learning;Mobile handsets;Computer architecture","data mining;distributed processing;electronic commerce;Internet of Things;learning (artificial intelligence);neural nets;optimisation;resource allocation;smart power grids","optimal auction;mobile blockchain networks;deep learning approach;smart grid;mobile environments;mining process;energy resources;mobile devices;ECSP;edge resource allocation;multilayer neural network architecture;edge computing service provider;bitcoin;Internet of things;IoT;monotone transformations;incentive compatibility;individual rationality","","","","","","","","","","IEEE","IEEE Conferences"
"Blockchain solutions for big data challenges: A literature review","E. Karafiloski; A. Mishev","Faculty of Computer Science and Engineering, Ss. Cyril and Methodius University, Skopje, Macedonia; Faculty of Computer Science and Engineering, Ss. Cyril and Methodius University, Skopje, Macedonia","IEEE EUROCON 2017 -17th International Conference on Smart Technologies","","2017","","","763","768","","","","10.1109/EUROCON.2017.8011213","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8011213","blockchain;big data;digital property;privacy;smart contracts;internet of things;healthcare","Data privacy;Big Data;Public key;Bitcoin;Compounds;Mobile communication","Big Data","blockchain solutions;Big Data challenges;blockchain technology;digital data diversity;decentralized management;private data;digital property resolution;IoT communication;public institution reforms","","","","","","","","","","IEEE","IEEE Conferences"
"ICN-Based Light-Weighted Mobility Support in IoT","D. An; D. Kim","NA; NA","2018 27th International Conference on Computer Communication and Networks (ICCCN)","","2018","","","1","2","","","","10.1109/ICCCN.2018.8487384","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8487384","","Logic gates;Relays;Wireless communication;Ad hoc networks;Internet of Things;Unicast;Wireless sensor networks","","","","","","","","","","","","IEEE","IEEE Conferences"
"Blockchain platforms: A compendium","C. Saraf; S. Sabadra","Department of Computer Engineering, Pune Institute of Computer Technology, Pune, India; Department of Computer Engineering, Pune Institute of Computer Technology, Pune, India","2018 IEEE International Conference on Innovative Research and Development (ICIRD)","","2018","","","1","6","","","","10.1109/ICIRD.2018.8376323","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8376323","Blockchain;Ethereum;Hyperledger;Corda;Ether;Sawtooth;Iroha;Burrow;Indy;Fabric","Contracts;Fabrics;Bitcoin;Conferences;Research and development","cryptography;data privacy;electronic money;financial data processing;Internet of Things","blockchain development;hyperledger platforms;blockchain platforms;Bitcoin;transactional privacy;cryptocurrencies","","","","","","","","","","IEEE","IEEE Conferences"
"Continuous Patient Monitoring With a Patient Centric Agent: A Block Architecture","M. A. Uddin; A. Stranieri; I. Gondal; V. Balasubramanian","Internet Commerce Security Laboratory, Centre for Informatics and Applied Optimisation, Federation University Australia, Ballarat, VIC, Australia; Internet Commerce Security Laboratory, Centre for Informatics and Applied Optimisation, Federation University Australia, Ballarat, VIC, Australia; Internet Commerce Security Laboratory, Centre for Informatics and Applied Optimisation, Federation University Australia, Ballarat, VIC, Australia; Internet Commerce Security Laboratory, Centre for Informatics and Applied Optimisation, Federation University Australia, Ballarat, VIC, Australia","IEEE Access","","2018","6","","32700","32726","","","","10.1109/ACCESS.2018.2846779","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8383967","Blockchain;body area sensor network;healthcare;remote patient monitoring;patient centric agent;proof of work;streamed data;Internet of Things;dynamically generated session key;patient record encryption key","Computer architecture;Medical services;Principal component analysis;Sensors;Biomedical monitoring","data privacy;health care;Internet of Things;medical information systems;patient monitoring","patient centric agent;privacy;PCA based architecture;continuous time patient monitoring architecture;real time patient monitoring architecture;continuous patient monitoring;block architecture;continuous remote patient monitoring;RPM architectures;RPM challenging;tier-based End to End architecture;healthcare;Internet of Things;IoT","","","","","","","","","","IEEE","IEEE Journals & Magazines"
"A Blockchain-Based Collocation Storage Architecture for Data Security Process Platform of WSN","L. Feng; H. Zhang; L. Lou; Y. Chen","State Key Laboratory of Software Development Environment, School of Computer Science, Beihang University, Beijing, 100191, P.R. China; State Key Laboratory of Software Development Environment, School of Computer Science, Beihang University, Beijing, 100191, P.R. China; State Key Laboratory of Information Photonics and Optical Communications, Beijing University of Posts and Telecommunications, Beijing, 100876, P.R. China; State Key Laboratory of Software Development Environment, School of Computer Science, Beihang University, Beijing, 100191, P.R. China","2018 IEEE 22nd International Conference on Computer Supported Cooperative Work in Design ((CSCWD))","","2018","","","75","80","","","","10.1109/CSCWD.2018.8465319","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8465319","blockchain;collaborative computing;consensus algorithm;distributed systems;WSN","Wireless sensor networks;Encryption;Distributed databases;Public key;Internet of Things","digital signatures;distributed databases;protocols;security of data;storage management;telecommunication computing;telecommunication security;wireless sensor networks","Internet of Things;loT;data collection;terminal devices;distributed databases;consensus protocol;asymmetric signature scheme;traditional WSN data process platform;sensor nodes;Wireless Sensor Networks;data security process platform;blockchain-based collocation storage architecture;WSN;WSN","","","","","","","","","","IEEE","IEEE Conferences"
"Blockchain network slice broker in 5G: Slice leasing in factory of the future use case","J. Backman; S. Yrjölä; K. Valtanen; O. Mämmelä","VTT Technical Research Centre of Finland Ltd., Oulu, Finland; Nokia, Oulu, Finland; VTT Technical Research Centre of Finland Ltd., Oulu, Finland; VTT Technical Research Centre of Finland Ltd., Oulu, Finland","2017 Internet of Things Business Models, Users, and Networks","","2017","","","1","8","","","","10.1109/CTTE.2017.8260929","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8260929","blockchain;manufacturing;network management;network slicing;5G;IIoT","5G mobile communication;Production facilities;Reliability;Manufacturing;Peer-to-peer computing","5G mobile communication;telecommunication industry","Blockchain network slice broker;mobile virtual network operators;5G Network;blockchain slice leasing ledger concept","","","","","","","","","","IEEE","IEEE Conferences"
"Distributed Solar Self-Consumption and Blockchain Solar Energy Exchanges on the Public Grid Within an Energy Community","C. Plaza; J. Gil; F. de Chezelles; K. A. Strang","Sunchain, Perpignan, France; Sunchain, Perpignan, France; Talium, Paris, France; Strategy division, Enedis, Paris La Défense, France","2018 IEEE International Conference on Environment and Electrical Engineering and 2018 IEEE Industrial and Commercial Power Systems Europe (EEEIC / I&CPS Europe)","","2018","","","1","4","","","","10.1109/EEEIC.2018.8494534","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8494534","solar energy;photovoltaics;self-consumption;prosumer;distributed energy;energy communities;energy sharing;blockchain;distributed ledger technology;consortium blockchain;permissioned blockchain;consensus;smart contract;IoT;oracle;energy sobriety","Production;Solar energy;Cryptography;Resource management;Renewable energy sources","","","","","","","","","","","","IEEE","IEEE Conferences"
"Smart district through IoT and Blockchain","C. Lazaroiu; M. Roscia","Department of Power Systems, Polytechnic University of Bucharest, Bucharest, Romania; Department of Engineering and Applied Sciences, University of Bergamo, Dalmine (BG), Italy","2017 IEEE 6th International Conference on Renewable Energy Research and Applications (ICRERA)","","2017","","","454","461","","","","10.1109/ICRERA.2017.8191102","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8191102","Home and Building automation;IoT;Blockchain;Smart Grid;Smart devices","Protocols;Building automation;Smart grids;Smart devices;Standards;Home automation;Air quality","building management systems;energy conservation;energy management systems;Internet of Things;power engineering computing;smart power grids;sustainable development;town and country planning","smart district model;urban areas;smart urban technologies;smart cities;smart users;smart grid;urbanization process;city infrastructure capability","","","","","","","","","","IEEE","IEEE Conferences"
