Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
[No author name available],[No author id available],"Proceedings of the 6th International Conference on Arab Women in Computing, ArabWIC 2019",2019,"ACM International Conference Proceeding Series",,,,"","",134,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071939144&partnerID=40&md5=55db5afbacbdda93c7ee2279dffe26db",,"","The proceedings contain 20 papers. The topics discussed include: exploratory study on estimating the cost of an open source platform for an astronomy center; inter blockchain communication: a survey; passage challenges from data-intensive system to knowledge-intensive system related to process mining field; firmware update attacks and security for IoT devices; towards a new generation of farming system: web services based online sales; towards a three layer architecture for dynamic spectrum access in cognitive radio networks; a new local algorithm for overlapping community detection based on clustering coefficient and common neighbor similarity; and DSS success: the intertwining of satisfaction and learning.",,,Conference Review,"Final",,Scopus,2-s2.0-85071939144
"Zhu Y.","57194827386;","A survey on mobile edge platform with blockchain",2019,"Proceedings of 2019 IEEE 3rd Information Technology, Networking, Electronic and Automation Control Conference, ITNEC 2019",,, 8729149,"879","883",,,"10.1109/ITNEC.2019.8729149","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067889922&doi=10.1109%2fITNEC.2019.8729149&partnerID=40&md5=1daef17879bd16aea080c0619b6a7834","Shanghai Jiao Tong University, Shanghai, China","Zhu, Y., Shanghai Jiao Tong University, Shanghai, China","As the Internet of Things (IoT), 5G and embedded artificial cloud computing develop, cloud computing is encountering growing challenges such as stringent latency requirements, network bandwidth constraints, etc. Edge computing proposes to bring computing and storage closer to user ends (UEs). Furthermore, mobile edge computing (MEC) aims to combine edge computing and cloud computing to offer better latency and user experience. However, cloud computing exists some inherent weakness, such as data loss and leakage, threats to data privacy, etc. We propose a blockchain-based MEC platform, called BlockMEC, that consists of unknown devices to distribute computing, control, storage, and networking functions to the edge of network without involving any central controllers. The survey paper also summarizes typical MEC concepts and makes comparisons between them and BlockMEC. © 2019 IEEE.","Blockchain; Edge Computing; Internet of Things (IoT)","5G mobile communication systems; Blockchain; Data privacy; Digital storage; Edge computing; Surveys; Data loss; Distribute computing; Internet of thing (IOT); Internet of Things (IOT); Network bandwidth; User experience; Internet of things",Conference Paper,"Final",,Scopus,2-s2.0-85067889922
"Tantidham T., Aung Y.N.","56422334700;57202813533;","Emergency Service for Smart Home System Using Ethereum Blockchain: System and Architecture",2019,"2019 IEEE International Conference on Pervasive Computing and Communications Workshops, PerCom Workshops 2019",,, 8730816,"888","893",,4,"10.1109/PERCOMW.2019.8730816","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068013694&doi=10.1109%2fPERCOMW.2019.8730816&partnerID=40&md5=de315909c741169dbb2252f36edf6e7f","Mahidol University, Faculty of ICT, Thailand","Tantidham, T., Mahidol University, Faculty of ICT, Thailand; Aung, Y.N., Mahidol University, Faculty of ICT, Thailand","Due to emerging disruptive technologies, Internet of Things (IoT) play a vital role for smart living domains, for examples, elderly and disabilities healthcare services and home safety and security monitoring and automation control services. These systems will send automatically an emergency call with home user information and location as a privacy data to public services like hospitals, police offices, or fire departments. This paper introduces emergency service for a Smart Home System (SHS) based on Ethereum blockchain with smart contract for decentralized handling access control among untrusted public services so called Home Service Providers (HSPs) and smart home IoT devices. Our SHS testbed consists of (1) smart home sensor manger equipped with Raspberry Pi (RPi) represented as an edge IoT gateway for gathering environmental sensor data, (2) HSP miners deployed Meteor and Ethereum platform, and (3) web-based applications for home users and HSP staffs. Furthermore, our contribution includes the integration of digital signature for the IoT device authentication, the One Time Passcode with QR code for HSP staff access control, and IPFS for manipulating emergency call from SHS in peers. Our implementation results focusing on HSP miners will be presented and analysed. © 2019 IEEE.","Emergency; Ethereum; Internet of Things (IoT); IPFS; One Time Passcode; Private Blockchain; Smart Contract; Smart Home","Authentication; Automation; Blockchain; Emergency services; Ethereum; Gateways (computer networks); Miners; Solar buildings; Ubiquitous computing; Emergency; Internet of Things (IOT); IPFS; One-time; Smart homes; Internet of things",Conference Paper,"Final",,Scopus,2-s2.0-85068013694
"Pillai A., Sindhu M., Lakshmy K.V.","57209506522;57196477231;55032484300;","Securing Firmware in Internet of Things using Blockchain",2019,"2019 5th International Conference on Advanced Computing and Communication Systems, ICACCS 2019",,, 8728389,"329","334",,1,"10.1109/ICACCS.2019.8728389","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067921371&doi=10.1109%2fICACCS.2019.8728389&partnerID=40&md5=f445e45ae9d1e8b17b0b5ca1f8c27975","TIFAC-CORE in Cyber Security, Amrita School of Engineering, Coimbatore, India","Pillai, A., TIFAC-CORE in Cyber Security, Amrita School of Engineering, Coimbatore, India; Sindhu, M., TIFAC-CORE in Cyber Security, Amrita School of Engineering, Coimbatore, India; Lakshmy, K.V., TIFAC-CORE in Cyber Security, Amrita School of Engineering, Coimbatore, India","As of today, most of the Internet of Things (IoT) devices work in a centralized environment. With IoT devices having to execute thousands of operations per second, it has become difficult for centralized systems to handle such platforms. Also, factors like operational and maintenance cost of these server machines and danger of DoS(Denial of Service) attack on such servers has threatened the practitioners to come up with a more distributed way of storing the contents. With its decentralized and privacy preserving features, blockchain technology fits well into the scheme of things. This mitigates the quintessential challenges faced in most of the centralized systems. In this paper, we are focusing on the new firmware update scheme to perform the update operations securely. We propose a blockchain based solution for managing firmware updates in IoT. Improper management of devices and distribution of firmware updates from the device vendor could sabotage the IoT ecosystem. The objective of this proposed scheme is to verify and distribute the firmware binaries securely to the IoT device deployed by the device vendor. The PUSH-based method is used for a firmware update in which verification of firmware is done by Hash Chain. It preserves the integrity of firmware by linking the latest version information by previous versions information with the help of a smart contract mechanism. © 2019 IEEE.","Blockchain; Firmware Update; Internet of Things; Smart Contracts","Blockchain; Cryptography; Denial-of-service attack; Firmware; Centralized systems; Denial of Service; Firmware updates; Internet of thing (IOT); Maintenance cost; Privacy preserving; Server machines; Version information; Internet of things",Conference Paper,"Final",,Scopus,2-s2.0-85067921371
"Bordel B., Alcarria R., Martín D., Sánchez-Picot Á.","57028472800;54984227800;13905154700;56491052700;","Trust provision in the internet of things using transversal blockchain networks",2019,"Intelligent Automation and Soft Computing","25","1",,"155","170",,,"10.31209/2018.100000052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067962707&doi=10.31209%2f2018.100000052&partnerID=40&md5=e32fb167e3c85c801372a0f1437b473f","Department of Telematics Systems Engineering, Universidad Politécnica de Madrid, Avenida Complutense no 30, Madrid, 28040, Spain; Department of Topographic Engineering and Cartography, Universidad Politécnica de Madrid, Campus Sur, Madrid, 28031, Spain","Bordel, B., Department of Telematics Systems Engineering, Universidad Politécnica de Madrid, Avenida Complutense no 30, Madrid, 28040, Spain; Alcarria, R., Department of Topographic Engineering and Cartography, Universidad Politécnica de Madrid, Campus Sur, Madrid, 28031, Spain; Martín, D., Department of Telematics Systems Engineering, Universidad Politécnica de Madrid, Avenida Complutense no 30, Madrid, 28040, Spain; Sánchez-Picot, Á., Department of Telematics Systems Engineering, Universidad Politécnica de Madrid, Avenida Complutense no 30, Madrid, 28040, Spain","The Internet-of-Things (IoT) paradigm faces new and genuine challenges and problems associated, mainly, with the ubiquitous access to the Internet, the huge number of devices involved and the heterogeneity of the components making up this new global network. In this context, protecting these systems against cyberattacks and cybercrimes has turn into a basic issue. In relation to this topic, most proposed solutions in the literature are focused on security; however other aspects have to be considered (such as privacy or trust). Therefore, in this paper we define a theoretical framework for trust in IoT scenarios, including a mathematical formalization and a discussion about the requirements which should fulfill a solution for trust provision. An analysis of these requirements shows that blockchain technology meets them perfectly, so a first trust provision system based on blockchain networks is also provided. An experimental validation is also proposed and performed in order to evaluate the described solution. © 2019 TSI® Press.","Blockchain; Cyber protection; Embedded Systems; Internet of Things; Trust provision",,Article,"Final",,Scopus,2-s2.0-85067962707
"Liang C., Shanmugam B., Azam S., Jonkman M., Boer F.D., Narayansamy G.","57212063765;20436394800;54894635100;12809410500;57211186963;55837510900;","Intrusion Detection System for Internet of Things based on a Machine Learning approach",2019,"Proceedings - International Conference on Vision Towards Emerging Trends in Communication and Networking, ViTECoN 2019",,, 8899448,"","",,,"10.1109/ViTECoN.2019.8899448","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075821103&doi=10.1109%2fViTECoN.2019.8899448&partnerID=40&md5=739faffe493e85b26739ad3cb7aa9cd3","IT and Environment Charles Darwin University, College of EngineeringNT, Australia; Universiti Teknologi, Razak Faculty of Technology and Informatics, Malaysia","Liang, C., IT and Environment Charles Darwin University, College of EngineeringNT, Australia; Shanmugam, B., IT and Environment Charles Darwin University, College of EngineeringNT, Australia; Azam, S., IT and Environment Charles Darwin University, College of EngineeringNT, Australia; Jonkman, M., IT and Environment Charles Darwin University, College of EngineeringNT, Australia; Boer, F.D., Universiti Teknologi, Razak Faculty of Technology and Informatics, Malaysia; Narayansamy, G., IT and Environment Charles Darwin University, College of EngineeringNT, Australia","With the application of Internet of Things technology to every aspect of life, the potential damage caused by Internet of things attacks is more serious than for traditional network attacks. Traditional intrusion detection systems do not serve the network environment of the IoT very well, so it is important to study intrusion detection systems suitable for the network environment of the Internet of Things. Researchers have found that the combination of machine learning technologies with an intrusion detection system is an effective way to resolve the drawbacks traditional IDSs have when they are used for IoT. This research involves the design of a novel intrusion detection system and the implementation and evaluation of its analysis model. This new intrusion detection system uses a hybrid placement strategy based on a multi-agent system. The new system consists of a data collection module, a data management module, an analysis module and a response module. For the implementation of the analysis module, this research applies a deep neural network algorithm for intrusion detection. The results demonstrate the efficiency of deep learning algorithms for detecting attacks from the transport layer. Compared with traditional detection methods used in IDSs, the analysis indicates that deep learning algorithms are more suitable for intrusion detection in an IoT network environment. © 2019 IEEE.","Blockchain; Component; Cybersecurity; Intrusion Detection System; IoT; Machine Learning; Multi-agent system","Blockchain; Computer crime; Deep neural networks; Information management; Internet of things; Learning algorithms; Learning systems; Machine learning; Multi agent systems; Component; Cyber security; Data collection modules; Internet of things technologies; Intrusion Detection Systems; Machine learning approaches; Machine learning technology; Neural network algorithm; Intrusion detection",Conference Paper,"Final",,Scopus,2-s2.0-85075821103
"Shanmugasundaram G., Kalaimathy A., Johnvee M., Pavithra S.","56419776000;57211666682;57211665526;57212521175;","Perspective analysis of digital voting systems",2019,"2019 IEEE International Conference on System, Computation, Automation and Networking, ICSCAN 2019",,, 8878849,"","",,,"10.1109/ICSCAN.2019.8878849","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074762877&doi=10.1109%2fICSCAN.2019.8878849&partnerID=40&md5=9acebf4a1c6afbf25d07da82821dce73","Department of Information Technology, Sri Manakula Vinayagar Engineering College, Pondicherry, India","Shanmugasundaram, G., Department of Information Technology, Sri Manakula Vinayagar Engineering College, Pondicherry, India; Kalaimathy, A., Department of Information Technology, Sri Manakula Vinayagar Engineering College, Pondicherry, India; Johnvee, M., Department of Information Technology, Sri Manakula Vinayagar Engineering College, Pondicherry, India; Pavithra, S., Department of Information Technology, Sri Manakula Vinayagar Engineering College, Pondicherry, India","Detection of fake votes is a major problem in current voting system. Traditionally, Electronic voting machines have been developed to improve the reliability of the electoral process. Generally EVM's requires more manpower. Some of the recent technologies have been contributed much to improve the Election process with different voting concepts. But still there is a difficulty in detecting the fake votes. In this article we examine the various concepts to achieve transparency over the database and also explores various key challenges in digital voting. © 2019 IEEE.","Authentication; Biometrics; Blockchain; IoT (Internet of Things); Transparency","Authentication; Biometrics; Blockchain; Internet of things; Transparency; Voting machines; Digital voting; Voting systems; Electronic voting",Conference Paper,"Final",,Scopus,2-s2.0-85074762877
"Tseng L., Wong L.","55337208600;57209500751;","Towards a Sustainable Ecosystem of Intelligent Transportation Systems",2019,"2019 IEEE International Conference on Pervasive Computing and Communications Workshops, PerCom Workshops 2019",,, 8730669,"403","406",,,"10.1109/PERCOMW.2019.8730669","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067966437&doi=10.1109%2fPERCOMW.2019.8730669&partnerID=40&md5=fa4277c908330714ae1accfde3315c1e","Boston College, United States","Tseng, L., Boston College, United States; Wong, L., Boston College, United States","It is difficult to overstate how large a role Intelligent Transportation Systems (ITS) technology has played in advancing safety, mobility, and productivity in our daily lives. ITS encompasses a broad range of technologies, including information and communication technologies, transportation and communication infrastructures, connected vehicles, and emerging technologies such as Internet-of-Things (IoT). It has been studied extensively in many different disciplines, including transportation, communication, database and management communities. Unfortunately, there are still many unsolved challenges that hinder the large deployment of advanced ITS systems. Recent studies have proposed using Blockchain, an emerging technology that enables decentralized coordination, to address inherent challenges in ITS such as security and scalability. However, these studies did not address a key question: how can we achieve a sustainable ITS ecosystem? This paper presents our preliminary study where we first point out the limitations of prior Blockchain-based ITS systems and then outline an architecture to support a sustainable ITS ecosystem. Our main goal is to stimulate further effort and cross-disciplinary collaboration by providing guidance and reference for future studies. © 2019 IEEE.","Architecture; Blockchain; Intelligent Transportation Systems; Scalability; Sustainability","Architecture; Blockchain; Ecosystems; Intelligent systems; Internet of things; Scalability; Sustainable development; Ubiquitous computing; Communication infrastructure; Cross-disciplinary collaborations; Database and management; Decentralized coordination; Information and Communication Technologies; Intelligent transportation systems; Internet of Things (IOT); Sustainable ecosystems; Intelligent vehicle highway systems",Conference Paper,"Final",,Scopus,2-s2.0-85067966437
"Rao A.R., Dave R.","7404473272;57211783325;","Developing hands-on laboratory exercises for teaching STEM students the internet-of-things, cloud computing and blockchain applications",2019,"2019 9th IEEE Integrated STEM Education Conference, ISEC 2019",,, 8882068,"191","198",,2,"10.1109/ISECon.2019.8882068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074998314&doi=10.1109%2fISECon.2019.8882068&partnerID=40&md5=a631ff8f6222e6c3d641981860739f4b","Fairleigh Dickinson UniversityNJ, United States","Rao, A.R., Fairleigh Dickinson UniversityNJ, United States; Dave, R., Fairleigh Dickinson UniversityNJ, United States","The fields of computer science and engineering are undergoing rapid change, with significant advances in areas including the internet-of-things, cloud computing, and blockchain technologies. Consequently, the gap between traditional course material taught to students in B.S./M.S. programs at universities and the cutting edge of technology used in industry is widening at an unprecedented rate. Students may get overwhelmed and discouraged by the amount of material they need to learn, contributing to high dropout rates in STEM fields, particularly in computer science and engineering.We propose a hands-on laboratory based approach to teach the students the basics of these emerging areas. The objective is to motivate and engage students by encouraging them to tinker with physical systems, so that they can develop an intuitive understanding of the new technologies.We present an approach using the Raspberry Pi, a small and inexpensive platform that allows students to build interesting applications in the area of the internet-of-things. We provide the preferred sequencing of necessary material, and the required combination of different software modules necessary to teach the students. We discuss our experience of teaching this course to both graduate and undergraduate students.Our results should be beneficial to instructors interested in exposing their students to these emerging technologies. Our main finding is that students prefer hands-on laboratory exercises to theoretical instruction. They are able to grasp concepts better when there is a short theoretical lecture followed immediately by related hands-on laboratory exercises. We present specific laboratory exercises to teach students about the end-to-end processing involved in acquiring images, creating immutable records using a cryptographic hash function, and transmitting and storing them on the cloud. These lab exercises provide students with an understanding of camera-based security applications, basic blockchain technology, and cloud computing. © 2019 IEEE.","blockchain; cloud storage; curricular development; embedded systems; hands-on experience; internet-of-things","Blockchain; Cloud computing; Curricula; Embedded systems; Engineering education; Hash functions; Internet of things; Laboratories; STEM (science, technology, engineering and mathematics); Teaching; Cloud storages; Computer science and engineerings; Cryptographic hash functions; Curricular development; Emerging technologies; hands-on experience; Hands-on laboratory exercise; Intuitive understanding; Students",Conference Paper,"Final",,Scopus,2-s2.0-85074998314
"Agrawal U., Koshy I., Churi P.P.","57212065388;57212061397;57188831747;","A Role of Blockchain in IoT and Financial Applications",2019,"Proceedings - International Conference on Vision Towards Emerging Trends in Communication and Networking, ViTECoN 2019",,, 8899446,"","",,,"10.1109/ViTECoN.2019.8899446","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075838395&doi=10.1109%2fViTECoN.2019.8899446&partnerID=40&md5=d407f532e419bffe05d17e7335302fb1","NMIMS University, Bachelors of Technology, Mumbai, India","Agrawal, U., NMIMS University, Bachelors of Technology, Mumbai, India; Koshy, I., NMIMS University, Bachelors of Technology, Mumbai, India; Churi, P.P., NMIMS University, Bachelors of Technology, Mumbai, India","A blockchain, is a growing list of information, called blocks, which are linked using cryptography. A blockchain is a decentralized, distributed and a public digital ledger that is used to record transactions across many devices so that any involved record cannot be changed easily, without modifying all subsequent blocks, because of this, blockchain has found its use in wide-ranging fields. This review paper, therefore, describes the role of blockchain in IoT and financial applications, two fields which will be benefitted the most by it. Furthermore, this paper examines the privacy and security concerns related to it and shares some insights on how these problems can be tackled. In this paper, we have reviewed multiple such papers in which similar issues were addressed. Lastly, the public perception of blockchain technology is taken to addresses how blockchain is perceived in different segments of society. © 2019 IEEE.","Blockchain; Finance; IoT; Privacy; Security","Blockchain; Data privacy; Digital devices; Finance; Financial applications; Privacy and security; Public perception; Review papers; Security; Internet of things",Conference Paper,"Final",,Scopus,2-s2.0-85075838395
"George G., Sankaranarayanan S.","57143768000;35079304100;","Light weight Cryptographic solutions for Fog Based Blockchain",2019,"6th IEEE International Conference on &amp;amp;amp;amp;amp;quot;Smart Structures and Systems&amp;amp;amp;amp;amp;quot;, ICSSS 2019",,, 8882870,"","",,1,"10.1109/ICSSS.2019.8882870","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074981073&doi=10.1109%2fICSSS.2019.8882870&partnerID=40&md5=8796026dffa223e0546b268891557888","SRM Institute of Science and Technology, Chennai, India","George, G., SRM Institute of Science and Technology, Chennai, India; Sankaranarayanan, S., SRM Institute of Science and Technology, Chennai, India","Cryptography is the art of converting readable data into indecipherable format using keys and vice versa. Strength of the algorithm is mainly measured by the complexity and CPU cycles required for cryptanalysis in the algorithm. But in an energy constrained environment like IoT, CPU intense complex algorithms will degrade the efficiency. Light-weight or cut down versions of symmetric and asymmetric cryptographies are found best suited for constrained environments. So accordingly, we in this paper have surveyed a lot of Hardware and software based Light-weight cryptographic algorithms in a quest to find the best suited cryptographic algorithm for signing and hashing blockchain in a constrained environment. © 2019 IEEE.","Elliptic Curve; Fog; IoT; Lightweight; Survey","Blockchain; Fog; Internet of things; Surveying; Surveys; Asymmetric cryptography; Complex algorithms; Cryptographic algorithms; Elliptic curve; Energy-constrained; Hardware and software; Lightweight; Readable data; Cryptography",Conference Paper,"Final",,Scopus,2-s2.0-85074981073
"Asare B.T., Quist-Aphetsi K., Nana L.","57206666115;55557997000;55447951500;","Nodal Authentication of IoT Data Using Blockchain",2019,"Proceedings - 2019 International Conference on Computing, Computational Modelling and Applications, ICCMA 2019",,, 8741494,"125","129",,1,"10.1109/ICCMA.2019.00028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068824624&doi=10.1109%2fICCMA.2019.00028&partnerID=40&md5=83d1665891c79e561b0b6b6b8d46b97f","Lab-STICC UMR CNRS 6285, Universite de Bretagne Occidentale, UBO, France; Computer Science Department, Ghana Technology University College, Ghana","Asare, B.T., Lab-STICC UMR CNRS 6285, Universite de Bretagne Occidentale, UBO, France; Quist-Aphetsi, K., Computer Science Department, Ghana Technology University College, Ghana; Nana, L., Lab-STICC UMR CNRS 6285, Universite de Bretagne Occidentale, UBO, France","Pervasive systems over the years continuous to grow exponentially. Engagement of IoT in fields such as Agriculture, Home automation, industrial applications etc is on the rise. Self organizing networks within the IoT field give rise to engagement of various nodes for data communication. The rise in Cyber-Attacks within IoT pose a lot of threat to these connected nodes and hence there is a need for data passing through nodes to be verified during communication. In this paper we proposed a nodal authentication approach in IoT using blockchain in securing the integrity of data passing through the nodes in IoT. In our work, we engaged the GOST algorithm in our approach. At the end, we achieved a nodal authentication and verification of the transmitted data. This makes it very difficult for an attacker to fake a node in the communication chain of the connected nodes. Data integrity was achieved in the nodes during the communication. © 2019 IEEE.","Blockchain; Cloud Computing; Cloud Security; GOST Algorithm; IoT","Authentication; Blockchain; Cloud computing; Computation theory; Network security; Cloud securities; Communication chains; Cyber-attacks; Data integrity; Data-communication; Home automation; Pervasive systems; Self-organizing network; Internet of things",Conference Paper,"Final",,Scopus,2-s2.0-85068824624
"Adhikari A., Winslett M.","57190403446;7003882945;","A Hybrid Architecture for Secure Management of Manufacturing Data in Industry 4.0",2019,"2019 IEEE International Conference on Pervasive Computing and Communications Workshops, PerCom Workshops 2019",,, 8730717,"973","978",,1,"10.1109/PERCOMW.2019.8730717","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067955605&doi=10.1109%2fPERCOMW.2019.8730717&partnerID=40&md5=1af65110596b063fd612c2d52e200193","Department of Computer Science, University of Illinois at Urbana-Champaign, Urbana, IL, United States","Adhikari, A., Department of Computer Science, University of Illinois at Urbana-Champaign, Urbana, IL, United States; Winslett, M., Department of Computer Science, University of Illinois at Urbana-Champaign, Urbana, IL, United States","In this paper, we analyze the suitability of the methods available today for securely managing the wide variety of data produced by the manufacturing sector. We propose a hybrid information architecture for manufacturing, based on decentralized blockchains, cloud-based WORM storage and ordinary cloud storage. We point out shortcomings in the technology available today for realizing this architecture. In particular, we identify a need for low-cost IoT-based systems to capture, identify, preprocess, encrypt and transmit factory floor data to the corresponding data storage subsystems. We describe our proof-of-concept implementation of such an IoT system, along with the factory case study that inspired it, and argue that this system is sufficiently inexpensive to be retrofitted into today's factories. © 2019 IEEE.","Big Data; Blockchain; Data Architecture; Digital Threads; IoT; Manufacturing; Security; WORM","Big data; Blockchain; Digital storage; Industry 4.0; Internet of things; Manufacture; Ubiquitous computing; Data architectures; Digital Threads; Hybrid architectures; Information architectures; Manufacturing sector; Proof of concept; Security; WORM; Information management",Conference Paper,"Final",,Scopus,2-s2.0-85067955605
"Balagurusamy V.S.K., Cabral C., Coomaraswamy S., Delamarche E., Dillenberger D.N., Dittmann G., Friedman D., Gokce O., Hinds N., Jelitto J., Kind A., Kumar A.D., Libsch F., Ligman J.W., Munetoh S., Narayanaswami C., Narendra A., Paidimarri A., Delgado M.A.P., Rayfield J., Subramanian C., Vaculin R.","55399381400;7004469475;57210202815;7003444598;6507030752;23484885300;24559014200;57193484461;6602511931;6602841885;7003687730;57211853564;6701738893;57118302300;55957048300;8362457000;57210207648;35311793700;57210214407;6701637555;57210207010;24400079800;","Crypto anchors",2019,"IBM Journal of Research and Development","63","2", 8645638,"","",,2,"10.1147/JRD.2019.2900651","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069903896&doi=10.1147%2fJRD.2019.2900651&partnerID=40&md5=564dd062f5bf79608fa6ff6aae471908","IBM Research, Yorktown Heights, NY  10598, United States; Instituto de Microelectronica de Sevilla, Universidad de Sevilla, Seville, 41092, Spain","Balagurusamy, V.S.K., IBM Research, Yorktown Heights, NY  10598, United States; Cabral, C., IBM Research, Yorktown Heights, NY  10598, United States; Coomaraswamy, S., IBM Research, Yorktown Heights, NY  10598, United States; Delamarche, E., IBM Research, Yorktown Heights, NY  10598, United States; Dillenberger, D.N., IBM Research, Yorktown Heights, NY  10598, United States; Dittmann, G., IBM Research, Yorktown Heights, NY  10598, United States; Friedman, D., IBM Research, Yorktown Heights, NY  10598, United States; Gokce, O., IBM Research, Yorktown Heights, NY  10598, United States; Hinds, N., IBM Research, Yorktown Heights, NY  10598, United States; Jelitto, J., IBM Research, Yorktown Heights, NY  10598, United States; Kind, A., IBM Research, Yorktown Heights, NY  10598, United States; Kumar, A.D., IBM Research, Yorktown Heights, NY  10598, United States; Libsch, F., IBM Research, Yorktown Heights, NY  10598, United States; Ligman, J.W., IBM Research, Yorktown Heights, NY  10598, United States; Munetoh, S., IBM Research, Yorktown Heights, NY  10598, United States; Narayanaswami, C., IBM Research, Yorktown Heights, NY  10598, United States; Narendra, A., IBM Research, Yorktown Heights, NY  10598, United States; Paidimarri, A., IBM Research, Yorktown Heights, NY  10598, United States; Delgado, M.A.P., Instituto de Microelectronica de Sevilla, Universidad de Sevilla, Seville, 41092, Spain; Rayfield, J., IBM Research, Yorktown Heights, NY  10598, United States; Subramanian, C., IBM Research, Yorktown Heights, NY  10598, United States; Vaculin, R., IBM Research, Yorktown Heights, NY  10598, United States","Blockchain technology can increase visibility in supply-chain transactions and lead to more accurate tracing of goods as well as provide evidence of whether a product is authentic or not. A shared, distributed ledger or blockchain alone, however, does not guarantee correct and trustworthy supply-chain traceability. We argue that blockchain technology (and any other digital traceability solution) must be enhanced with methods to anchor physical objects into information technology, Internet-of-Things and blockchain systems. Only when trust from the digital domain is extended to the physical domain can the movement of goods be accurately traced (e.g., for callbacks and provenance) and product authenticity determined. In this paper, we introduce the concept of crypto anchors, propose a classification and system architecture, and give implementation examples for different use cases and industries. © 1957-2012 IBM.",,"Anchors; Supply chains; Digital domain; Physical domain; Physical objects; Supply chain transactions; System architectures; Blockchain",Article,"Final",,Scopus,2-s2.0-85069903896
"Wohlgemuth S., Umezawa K., Mishina Y., Takaragi K.","14055074600;16032524800;57205547107;6603543284;","Competitive Compliance with Blockchain",2019,"2019 IEEE International Conference on Pervasive Computing and Communications Workshops, PerCom Workshops 2019",,, 8730684,"967","972",,1,"10.1109/PERCOMW.2019.8730684","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067944621&doi=10.1109%2fPERCOMW.2019.8730684&partnerID=40&md5=96b9bb03111175586e8f94ee42f7dff6","Hitachi Ltd., Research Development Group, Yokohama, Kanazawa, 244-0817, Japan; Department of Information Science, Shonan Institute of Technology, Fujisawa, Kanagawa, 251-8511, Japan; National Institute of Advanced Industrial Science and Technology (AIST), Cyber-Physical Security Research Center (CPSEC), Koto-ku, Tokyo, 135-0064, Japan","Wohlgemuth, S., Hitachi Ltd., Research Development Group, Yokohama, Kanazawa, 244-0817, Japan; Umezawa, K., Department of Information Science, Shonan Institute of Technology, Fujisawa, Kanagawa, 251-8511, Japan; Mishina, Y., National Institute of Advanced Industrial Science and Technology (AIST), Cyber-Physical Security Research Center (CPSEC), Koto-ku, Tokyo, 135-0064, Japan; Takaragi, K., National Institute of Advanced Industrial Science and Technology (AIST), Cyber-Physical Security Research Center (CPSEC), Koto-ku, Tokyo, 135-0064, Japan","Authentication is essential for sharing information in IoT and its secondary use with AI-capable machines. The aim is to support humans in optimizing risk of supply chains for industrial manufacturing and service provisioning in a timely manner. The ultimate aim is sustainability. The problem for deciding on authentication is probably imperfect information on compliance. Its asymmetric implications of the meaning of contracts for secure information sharing may cause vulnerability of data breach and misuse. A traditional way to avoid harm of that asymmetry requires authentic and consistent sharing of audit information on violation of a certification policy to a centralized audit intelligence. This information sharing is, however, subject to the problem of single point of failure of the centralized audit intelligence. With our work on Security by Design, we show a non-central approach of clarifying accountability to reduce the risk caused by asymmetric implications of the meaning of contracts on authentication. Our signaling and screening scheme SK4SC provides personal digital evidences on compliance to multilateral policies on using information or in other words on trustworthiness. Blockchains are used to realize their symmetric distribution while users share risk on accountability with competition on incentives in a privacy-enhancing manner. Customer relationship management with royalty points, e.g., for eGovernment with taxation, is an example for using SK4SC as digital platform. © 2019 IEEE.","accountability; identity management; risk management; Security by design; social innovation","Authentication; Blockchain; Information analysis; Network security; Public relations; Risk management; Supply chains; Taxation; Ubiquitous computing; accountability; Customer relationship management; Identity management; Imperfect information; Industrial manufacturing; Secure information sharing; Social innovations; Symmetric distributions; Information dissemination",Conference Paper,"Final",,Scopus,2-s2.0-85067944621
